aX,aY,aZ,gX,gY,gZ
0.040,0.001,0.518,-2.502,-2.014,-3.479
0.041,-0.007,0.518,-2.686,-2.136,-3.540
0.045,-0.008,0.520,-3.357,-3.052,-3.845
0.047,-0.012,0.527,-3.418,-2.014,-3.601
0.048,-0.021,0.530,-3.235,-1.709,-3.479
0.048,-0.031,0.530,-4.456,-1.343,-2.808
0.049,-0.036,0.528,-4.089,-0.732,-2.136
0.049,-0.039,0.527,-3.967,-0.610,-1.221
0.049,-0.040,0.524,-3.967,-0.061,-0.732
0.049,-0.037,0.520,-3.235,-0.488,15.381
0.048,-0.033,0.518,-3.357,-0.610,0.366
0.046,-0.026,0.515,-3.235,-1.282,0.854
0.043,-0.021,0.513,-3.662,-1.709,1.465
0.042,-0.013,0.511,-3.784,-1.892,1.953
0.038,-0.009,0.514,-4.395,-3.174,1.953
0.039,-0.006,0.523,-3.845,-3.723,2.075
0.039,0.004,0.536,-3.418,-3.723,1.892
0.038,0.006,0.544,-3.235,-3.601,1.343
0.037,0.004,0.547,-2.808,-2.502,0.732
0.037,0.004,0.544,-2.441,-1.892,0.549
0.035,0.002,0.542,-2.014,-0.854,0.061
0.035,0.002,0.541,-1.343,-0.549,-0.549
0.034,0.003,0.541,-0.305,0.000,-1.221
0.033,0.004,0.536,-0.366,0.183,-1.221
0.033,0.001,0.535,-0.488,15.503,-1.465
0.032,-0.030,0.532,-0.854,0.244,-1.465
0.031,-0.004,0.528,-0.854,0.427,-1.343
0.025,-0.009,0.521,-1.465,0.488,-1.648
0.026,-0.014,0.516,-2.014,0.488,-1.831
0.024,-0.020,0.512,-1.709,0.305,-2.014
0.028,-0.026,0.513,-1.709,0.061,-1.587

0.891,-1.736,0.052,28.687,40.710,-349.670
0.911,-1.868,0.058,48.950,39.246,-330.444
0.925,-1.940,0.077,60.486,35.583,-304.199
0.927,-2.009,0.106,65.491,30.823,-279.846
0.922,-2.083,0.129,62.622,24.475,-248.291
0.915,-2.145,0.138,54.138,14.893,-219.910
0.914,-2.212,0.130,44.250,5.920,-183.350
0.896,-2.257,0.120,33.569,-4.395,-151.245
0.883,-2.292,0.109,26.611,-14.038,-113.098
0.864,-2.290,0.100,24.536,-22.705,-81.848
0.847,-2.261,0.101,27.893,-29.907,-47.485
0.831,-2.214,0.130,34.180,-36.377,-20.813
0.807,-2.138,0.172,43.945,-40.039,7.996
0.792,-2.075,0.233,51.514,-40.161,30.640
0.788,-1.993,0.274,60.730,-38.635,55.115
0.790,-1.924,0.309,69.580,-35.706,74.036
0.779,-1.834,0.325,81.543,-31.616,107.422
0.751,-1.758,0.331,90.454,-27.283,110.474
0.729,-1.667,0.333,102.417,-23.010,139.587
0.704,-1.587,0.337,112.122,-18.738,138.428
0.659,-1.495,0.348,122.803,-13.428,148.132
0.669,-1.421,0.350,130.615,-7.935,158.936
0.651,-1.338,0.343,139.526,-2.747,167.114
0.631,-1.267,0.321,145.630,1.709,176.086
0.619,-1.185,0.290,151.001,4.517,182.861
0.591,-0.976,0.221,152.222,6.836,212.952
0.584,-0.948,0.215,149.841,6.042,223.694
0.571,-0.927,0.211,146.240,4.578,233.459
0.550,-0.907,0.198,142.761,2.808,247.131
0.536,-0.870,0.175,140.991,-0.427,259.583
0.520,-0.809,0.158,140.686,-3.418,273.682
0.509,-0.751,0.149,140.076,-7.507,285.583
0.498,-0.670,0.154,139.282,-10.193,298.889
0.481,-0.601,0.160,137.329,-14.282,308.044
0.437,-0.516,0.145,136.719,-16.785,318.604
0.396,-0.435,0.101,137.695,-23.010,325.562
0.356,-0.322,0.062,139.832,-29.663,331.482
0.337,-0.209,0.033,142.456,-41.260,336.182
0.281,-0.083,0.035,146.301,-51.880,338.562
0.313,0.028,0.079,148.376,-61.951,339.783
0.312,0.154,0.153,148.926,-67.444,338.379
0.302,0.250,0.230,147.705,-71.106,335.693
0.282,0.357,0.324,142.395,-71.716,332.520
0.245,0.432,0.381,135.376,-70.557,327.759
0.208,0.500,0.432,126.465,-67.505,322.510
0.167,0.589,0.461,118.835,-64.270,315.308
0.135,0.664,0.477,111.572,-60.120,307.678
0.104,0.749,0.483,107.910,-55.969,296.570
-0.111,0.877,0.405,97.961,-38.269,241.638
-0.070,0.891,0.363,98.022,-40.649,232.544
-0.081,0.877,0.395,100.098,-42.358,225.281
-0.084,0.941,0.365,99.243,-46.509,216.370
-0.069,0.948,0.449,103.516,-49.316,207.886
-0.057,0.988,0.507,100.281,-42.175,202.332
-0.080,1.021,0.519,92.834,-38.147,195.374
-0.099,1.031,0.571,87.952,-33.203,185.791
-0.155,1.028,0.571,82.581,-30.457,177.185
-0.155,1.021,0.560,79.285,-30.762,168.396
-0.177,1.039,0.528,75.745,-33.691,163.147
-0.185,1.080,0.504,71.289,-39.368,157.654
-0.181,1.134,0.493,65.125,-44.556,153.137
-0.166,1.179,0.511,58.594,-48.584,146.423
-0.166,1.228,0.542,49.622,-50.659,139.893
-0.174,1.261,0.566,41.748,-51.514,130.188
-0.189,1.311,0.597,32.166,-51.636,122.559
-0.208,1.296,0.625,23.254,-52.124,113.525
-0.210,1.319,0.648,12.756,-52.063,105.896
-0.211,1.348,0.666,3.174,-51.941,96.802
-0.218,1.376,0.686,-7.996,-51.270,88.623
-0.226,1.400,0.702,-17.700,-50.232,77.637
-0.232,1.420,0.711,-28.564,-48.157,67.078
-0.232,1.439,0.711,-37.659,-46.265,53.589
-0.212,1.409,0.599,-67.932,-36.316,0.977
-0.201,1.400,0.544,-72.693,-36.438,-11.353
-0.184,1.383,0.474,-76.721,-38.147,-26.306
-0.168,1.353,0.465,-81.421,-39.917,-38.818
-0.138,1.317,0.448,-85.022,-41.382,-53.711
-0.123,1.254,0.432,-88.257,-41.626,-66.162
-0.104,1.192,0.417,-89.111,-41.321,-79.834
-0.063,1.114,0.398,-89.417,-40.222,-90.271
-0.081,1.047,0.345,-89.478,-39.307,-102.051
-0.072,0.958,0.342,-89.233,-39.185,-111.206
-0.055,0.887,0.313,-88.257,-40.039,-121.826
-0.043,0.798,0.301,-87.708,-41.016,-130.554
-0.025,0.719,0.308,-88.440,-42.236,-140.137
-0.005,0.610,0.314,-88.623,-42.786,-146.606
0.005,0.514,0.311,-88.379,-42.847,-152.161
0.016,0.402,0.293,-87.585,-43.823,-155.273
0.021,0.321,0.269,-86.609,-46.265,-156.616
0.022,0.235,0.250,-84.900,-48.645,-156.860
0.021,0.170,0.241,-83.618,-52.979,-156.921
0.022,0.101,0.243,-81.177,-57.129,-156.921
0.025,-0.161,0.330,-64.331,-71.411,-157.043
0.033,-0.220,0.361,-60.181,-73.853,-155.273
0.048,-0.289,0.377,-57.312,-75.562,-151.917
0.055,-0.333,0.397,-53.284,-77.820,-148.865
0.059,-0.379,0.411,-49.866,-79.529,-144.531
0.056,-0.410,0.430,-44.739,-82.397,-141.296
0.057,-0.440,0.445,-41.199,-84.290,-138.489
0.056,-0.460,0.473,-36.560,-87.524,-135.803
0.055,-0.483,0.506,-33.081,-88.806,-133.118
0.067,-0.512,0.543,-30.640,-90.576,-130.676
0.085,-0.560,0.573,-29.053,-91.919,-126.892
0.106,-0.607,0.609,-26.672,-92.163,-122.437
0.127,-0.641,0.641,-25.024,-93.018,-116.333
0.138,-0.672,0.682,-23.254,-92.834,-110.535
0.146,-0.697,0.749,-22.217,-91.736,-102.295
0.151,-0.721,0.762,-20.874,-89.966,-95.581
0.157,-0.734,0.791,-20.142,-88.684,-87.341
0.197,-0.685,0.866,-12.451,-79.956,-55.542
0.194,-0.654,0.885,-8.850,-76.904,-49.744
0.191,-0.625,0.913,-6.409,-73.303,-43.579
0.193,-0.583,0.940,-4.700,-68.176,-37.659
0.194,-0.549,0.958,-3.479,-62.561,-33.508
0.192,-0.512,0.969,-1.831,-57.129,-29.236
0.192,-0.487,0.980,-0.488,-50.720,-26.306
0.183,-0.461,0.992,0.793,-44.922,-23.682
0.177,-0.441,1.000,1.465,-37.109,-21.667
0.167,-0.421,0.992,2.747,-30.457,-19.775
0.160,-0.407,0.966,3.418,-23.010,-18.433
0.155,-0.395,0.933,4.578,-18.127,-16.052
0.150,-0.383,0.897,5.188,-13.550,-13.733
0.141,-0.362,0.867,6.104,-10.559,-11.230
0.131,-0.341,0.832,7.812,-7.996,-9.277
0.117,-0.311,0.812,9.094,-6.287,-7.324
0.107,-0.282,0.792,9.888,-4.639,-6.531
0.095,-0.244,0.779,10.498,-3.296,-5.676
0.088,-0.218,0.767,11.169,-1.892,-5.310
0.083,-0.193,0.760,10.925,-0.732,-5.005
0.077,-0.179,0.761,10.437,1.160,-5.493
0.075,-0.176,0.757,10.254,3.601,-5.066
0.070,-0.173,0.745,10.193,6.348,-3.479
0.037,-0.169,0.730,10.437,8.972,-2.197
0.059,-0.160,0.711,10.681,11.902,-0.122
0.050,-0.148,0.682,11.169,13.733,1.282
0.036,-0.136,0.652,11.536,14.648,3.052
0.029,-0.118,0.621,11.536,13.916,4.883
0.023,-0.098,0.595,11.169,12.817,6.775
0.018,-0.074,0.579,9.460,10.620,7.568
0.014,-0.051,0.575,7.812,8.606,8.667
0.011,-0.033,0.578,5.554,6.836,8.789
0.005,-0.016,0.578,4.456,5.981,8.728
-0.002,-0.002,0.580,3.601,6.165,8.118
-0.012,0.007,0.578,2.747,6.348,7.202
-0.016,0.013,0.574,2.441,6.653,5.981
-0.021,0.018,0.569,2.625,6.897,4.700
-0.018,0.019,0.560,2.197,7.385,3.296
-0.018,0.016,0.551,2.014,7.080,2.625
-0.017,0.022,0.544,2.014,7.690,2.014
-0.022,0.018,0.538,1.587,6.836,1.343
-0.020,0.019,0.535,1.160,7.263,0.793
-0.021,0.027,0.526,0.427,6.348,0.244
-0.024,0.033,0.520,-0.671,5.920,-0.061
-0.027,0.032,0.515,-1.648,4.883,-1.343
-0.024,0.029,0.512,-2.502,4.578,-2.136
-0.024,0.025,0.511,-2.747,3.662,-3.174
-0.024,0.018,0.510,-3.113,3.296,-3.906
