aX,aY,aZ,gX,gY,gZ
0.088,0.003,0.529,-2.869,35.339,7.202
0.086,0.000,0.499,-0.488,37.170,7.446
0.083,0.011,0.464,1.709,37.476,7.080
0.084,0.021,0.436,2.075,37.720,6.348
0.076,0.000,0.403,2.869,36.011,4.639
0.068,0.037,0.384,3.845,32.593,2.441
0.067,0.045,0.381,3.845,28.076,1.221
0.072,0.042,0.396,1.831,25.513,0.732
0.080,0.032,0.409,-1.038,24.109,0.549
0.078,0.007,0.415,-5.493,24.170,1.343
0.073,-0.006,0.411,-9.521,24.780,3.296
0.059,-0.019,0.393,-13.977,25.452,4.517
0.044,-0.024,0.367,-16.968,25.696,6.104
0.031,-0.026,0.336,-18.982,24.475,6.714
0.020,-0.019,0.312,-19.714,22.461,6.714
0.016,-0.011,0.290,-19.531,18.677,6.165
0.015,-0.002,0.284,-18.555,14.893,5.249
0.016,0.001,0.295,-16.724,10.925,3.723
0.017,0.003,0.309,-15.930,8.179,2.686
0.020,0.004,0.331,-14.648,6.042,1.648
0.024,0.007,0.350,-13.855,4.456,0.610
0.026,0.013,0.369,-13.123,3.845,-0.977
0.061,0.012,0.384,-12.634,3.296,-2.319
0.031,0.014,0.395,-11.963,3.540,-3.906
0.035,0.007,0.408,-11.414,3.845,-5.493
0.043,0.003,0.415,-10.986,4.150,-6.836
0.052,-0.002,0.418,-10.986,4.822,-7.507
0.059,-0.006,0.423,-11.658,5.310,-8.301
0.061,-0.012,0.424,-12.085,5.188,-9.155
0.068,-0.023,0.423,-12.024,4.700,-9.460
0.070,-0.062,0.431,-12.695,4.517,-9.644
0.078,-0.042,0.438,-13.062,4.089,-9.888
0.086,-0.053,0.445,-12.878,4.639,-9.766
0.092,-0.062,0.453,-13.184,5.493,-9.399
0.098,-0.069,0.460,-12.756,7.385,-8.728
0.102,-0.073,0.455,-11.780,8.911,-7.690
0.095,-0.077,0.434,-10.315,11.597,-5.371
0.096,-0.075,0.426,-10.071,11.536,-4.517
0.097,-0.073,0.417,-9.705,11.169,-3.784
0.095,-0.070,0.404,-10.010,10.254,-3.052
0.097,-0.068,0.398,-10.498,7.996,-2.808
0.097,-0.066,0.397,-10.742,6.348,-2.319
0.095,-0.068,0.410,-10.376,4.578,-2.502
0.095,-0.068,0.422,-10.925,3.967,-2.075
0.093,-0.070,0.429,-11.841,4.211,-1.404
0.091,-0.072,0.433,-11.963,4.089,-1.099
0.089,-0.075,0.435,-11.719,4.761,-0.916
0.088,-0.075,0.435,-10.559,4.272,-0.977
0.089,-0.075,0.436,-10.010,4.211,-0.488
0.087,-0.075,0.442,-9.583,4.211,-0.488
0.088,-0.071,0.444,-9.583,4.089,0.305
0.089,-0.064,0.452,-9.705,3.723,1.099
0.090,-0.057,0.450,-10.620,3.479,1.648
0.090,-0.053,0.446,-11.780,2.869,2.014
0.088,-0.042,0.444,-13.184,1.709,2.136
0.084,-0.034,0.445,-14.160,0.427,2.380
0.081,-0.027,0.449,-14.771,-1.099,2.075
0.082,-0.022,0.453,-15.564,-2.441,1.221
0.081,-0.022,0.463,-15.747,-3.357,0.549
0.085,-0.024,0.476,-15.991,-3.113,-0.122
0.085,-0.029,0.481,-15.198,-2.563,-1.038
0.087,-0.024,0.487,-15.259,-2.014,-1.709
0.087,-0.018,0.487,-14.893,-0.977,-1.953
0.081,-0.017,0.479,-15.259,-0.427,-2.502
0.081,-0.011,0.470,-15.137,-0.671,-3.296
0.077,-0.008,0.468,-15.381,-0.916,-4.272
0.074,-0.010,0.467,-14.832,-1.892,-5.554
0.075,-0.010,0.469,-14.343,-2.380,-6.470
0.075,-0.013,0.472,-14.648,-3.235,-7.263
0.077,-0.016,0.478,-14.526,-3.662,-8.301
0.079,-0.023,0.479,-14.526,-3.967,-8.606
0.075,-0.027,0.479,-14.648,-4.639,-9.155
0.075,-0.031,0.480,-13.611,-4.700,-9.583
0.075,-0.031,0.483,-12.634,-4.456,-9.460
0.074,-0.034,0.481,-12.146,-4.089,-9.766
0.075,-0.032,0.479,-12.268,-4.395,-9.766
0.074,-0.040,0.474,-13.184,-5.371,-9.583
0.074,-0.044,0.475,-13.977,-6.653,-9.644
0.082,-0.066,0.497,-15.015,-10.193,-9.583
0.088,-0.071,0.504,-15.015,-10.010,-9.094
0.088,-0.075,0.503,-14.954,-9.277,-8.972
0.088,-0.080,0.503,-14.160,-8.484,-9.155
0.088,-0.086,0.495,-12.817,-8.179,-9.094
0.085,-0.087,0.491,-11.230,-8.240,-9.338
0.085,-0.089,0.489,-9.827,-8.667,-9.338
0.085,-0.088,0.491,-9.094,-8.606,-9.277
0.091,-0.089,0.501,-7.507,-7.996,-8.545
0.095,-0.092,0.507,-5.798,-6.775,-7.019
0.101,-0.092,0.513,-3.601,-5.249,-6.042
0.100,-0.093,0.511,-1.709,-3.845,-5.249
0.097,-0.090,0.517,0.732,-2.502,-4.700
0.095,-0.091,0.520,1.770,-0.549,-3.845
0.092,-0.092,0.523,3.052,-0.122,-3.601
0.089,-0.090,0.522,3.357,1.099,-2.808
0.088,-0.087,0.521,3.662,2.197,-1.953
0.089,-0.083,0.518,4.089,2.563,-1.465
0.085,-0.079,0.514,3.601,2.808,-1.038
0.083,-0.074,0.514,3.357,2.747,-0.488
0.074,-0.068,0.510,3.052,2.197,-0.671
0.074,-0.059,0.510,2.991,1.770,-0.549
0.070,-0.053,0.512,2.319,0.854,-0.427
0.070,-0.054,0.515,1.831,1.038,-0.916
0.071,-0.056,0.524,1.282,0.549,-1.404
0.071,-0.057,0.523,0.793,0.793,-1.953
0.071,-0.059,0.525,15.564,0.610,-2.930
0.071,-0.065,0.521,-0.427,0.854,-2.869
0.078,-0.068,0.520,-0.610,1.160,-2.380
0.075,-0.066,0.518,-0.977,1.099,-2.441
0.074,-0.063,0.517,-1.343,0.549,-2.258
0.074,-0.061,0.511,-1.343,0.671,-2.258
0.072,-0.061,0.513,-1.404,0.977,-2.625
0.071,-0.062,0.510,-1.282,0.916,-2.747
0.070,-0.065,0.505,-1.709,0.427,-3.296
0.070,-0.064,0.505,-1.404,0.000,-3.418
0.072,-0.066,0.506,-1.282,-0.549,-3.723

0.287,0.359,1.702,-16.541,13.550,169.312
0.264,0.467,1.707,-7.568,14.099,152.344
0.321,0.370,1.769,3.784,23.499,144.592
0.277,0.350,1.728,2.258,41.382,152.466
0.341,0.501,1.722,2.319,42.236,159.729
0.362,0.552,1.729,4.639,36.682,152.283
0.328,0.640,1.754,2.808,36.133,147.095
0.311,0.720,1.835,-4.211,39.246,142.273
0.302,0.764,1.920,-13.733,47.852,137.512
0.312,0.787,1.965,-18.005,55.847,130.188
0.326,0.801,1.992,-17.761,69.885,123.901
0.345,0.829,1.983,-15.686,80.566,117.004
0.367,0.848,1.957,-12.512,94.971,111.389
0.370,0.867,1.922,-10.132,104.004,107.788
0.381,0.897,1.888,-9.216,111.755,103.210
0.370,0.918,1.840,-10.254,117.981,99.426
0.353,0.929,1.797,-12.817,124.084,95.093
0.345,0.940,1.757,-14.954,128.418,91.675
0.339,0.940,1.724,-14.954,133.423,86.731
0.338,0.927,1.689,-15.137,139.465,83.252
0.334,0.908,1.659,-12.756,145.020,79.651
0.334,0.901,1.616,-11.902,151.672,76.904
0.348,0.915,1.576,-10.010,158.081,74.341
0.353,0.928,1.505,-8.911,164.368,72.205
0.347,0.962,1.444,-8.911,168.213,69.214
0.338,1.001,1.351,-9.216,170.593,63.354
0.330,1.042,1.322,-10.681,172.974,57.068
0.318,1.064,1.272,-12.390,174.744,47.729
0.331,1.071,1.223,-13.977,176.086,38.940
0.344,1.060,1.199,-16.724,179.016,29.114
0.356,1.031,1.149,-19.409,182.922,21.606
0.357,0.988,1.092,-20.386,184.937,13.916
0.358,0.968,1.029,-21.912,185.669,8.423
0.362,0.951,0.977,-23.071,186.157,1.587
0.356,0.929,0.926,-23.865,186.157,-4.333
0.352,0.760,0.802,-20.264,197.632,-28.320
0.348,0.732,0.753,-17.822,199.829,-32.410
0.348,0.719,0.688,-16.663,201.904,-36.316
0.339,0.709,0.625,-15.747,203.308,-40.405
0.322,0.698,0.545,-14.771,202.637,-46.692
0.307,0.688,0.488,-12.756,199.768,-52.856
0.298,0.673,0.434,-9.338,195.923,-61.035
0.296,0.649,0.393,-3.967,192.810,-68.970
0.303,0.621,0.371,1.343,189.697,-77.942
0.309,0.581,0.360,8.850,187.683,-84.473
0.323,0.551,0.354,15.137,186.401,-91.370
0.341,0.521,0.349,21.729,184.998,-95.581
0.360,0.486,0.350,26.428,184.326,-99.182
0.372,0.462,0.350,30.762,184.082,-101.257
0.379,0.446,0.341,33.142,184.631,-103.577
0.382,0.433,0.324,34.790,184.753,-105.652
0.375,0.396,0.309,36.743,184.082,-107.666
0.354,0.375,0.294,38.452,184.326,-108.215
0.334,0.368,0.284,38.147,184.753,-108.154
0.321,0.377,0.260,36.072,186.401,-108.521
0.282,0.388,0.209,32.776,186.951,-125.000
0.307,0.397,0.127,28.076,185.547,-110.596
0.306,0.401,0.094,23.743,182.861,-110.901
0.306,0.396,0.048,20.386,178.894,-111.572
0.303,0.383,0.000,16.174,174.561,-111.694
0.291,0.363,-0.034,13.550,170.349,-111.938
0.257,0.259,-0.162,8.606,152.527,-112.976
0.250,0.239,-0.210,6.042,145.630,-112.244
0.240,0.212,-0.249,3.418,137.878,-111.755
0.224,0.158,-0.281,0.366,127.380,-111.694
0.216,0.158,-0.288,-1.831,118.164,-111.938
0.209,0.138,-0.286,-3.601,108.459,-112.244
0.199,0.115,-0.281,-5.432,101.135,-112.000
0.198,0.089,-0.284,-6.287,92.834,-111.755
0.194,0.052,-0.285,-6.104,86.609,-110.107
0.196,0.026,-0.273,-4.395,79.285,-108.337
0.196,0.004,-0.252,-1.892,74.890,-105.835
0.190,-0.014,-0.232,2.075,69.885,-103.333
0.187,-0.031,-0.213,4.395,66.406,-100.403
0.183,-0.042,-0.185,9.277,64.636,-98.572
0.179,-0.057,-0.165,14.526,64.270,-97.046
0.173,-0.069,-0.150,21.973,65.674,-96.191
0.161,-0.084,-0.147,28.015,66.895,-94.788
0.151,-0.091,-0.149,35.828,68.848,-93.384
0.155,-0.087,-0.154,43.945,69.885,-92.773
0.155,-0.074,-0.173,52.551,72.266,-92.285
0.157,-0.059,-0.191,59.387,73.608,-92.407
0.150,-0.058,-0.211,68.359,74.646,-92.529
0.127,-0.054,-0.223,75.684,74.829,-92.712
0.111,-0.051,-0.233,80.872,74.890,-93.079
0.076,-0.064,-0.305,58.411,65.063,-93.079
0.083,-0.075,-0.339,47.241,58.594,-90.637
0.101,-0.084,-0.374,30.884,50.476,-88.257
0.116,-0.101,-0.410,16.602,43.823,-84.167
0.115,-0.113,-0.456,-0.549,33.447,-80.505
0.117,-0.132,-0.492,-11.414,24.719,-76.477
0.113,-0.146,-0.528,-22.888,13.794,-73.120
0.115,-0.166,-0.538,-30.579,5.249,-69.824
0.115,-0.219,-0.547,-35.278,-3.296,-66.467
0.109,-0.209,-0.551,-36.377,-9.399,-62.622
0.110,-0.239,-0.550,-36.438,-14.771,-59.143
0.103,-0.266,-0.552,-34.668,-19.348,-55.420
0.098,-0.294,-0.558,-29.053,-22.827,-52.185
0.096,-0.307,-0.564,-22.278,-25.818,-48.096
0.101,-0.304,-0.570,-12.817,-27.710,-44.983
0.103,-0.304,-0.577,-4.028,-29.602,-41.626
